SeniorCitizen,Partner,Dependents,tenure,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,PaperlessBilling,MonthlyCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,1,1,0.0256070553622056,1,0,0,0,0,0,-1.3464441800535252,0,0,1,1,0,0,1,0,0,0,0
0,0,0,-1.2774445836787656,0,0,0,0,0,1,-0.6534748309842519,1,0,0,1,0,0,1,0,0,0,1
0,0,0,-1.2774445836787656,0,0,0,0,0,0,-1.4876969250676455,0,0,1,1,0,0,0,0,0,1,1
0,1,1,1.4100994218432374,1,0,0,1,1,1,0.1707764810981453,1,0,0,0,0,1,1,0,0,0,0
0,1,0,1.6137012404433893,1,1,1,1,1,1,0.8770402061687477,1,0,0,0,0,1,1,0,0,0,0
0,0,0,-1.1145631287986442,1,0,0,0,0,1,1.0000131841810405,0,1,0,1,0,0,1,0,0,0,1
0,0,0,0.3920903288424788,0,0,1,1,1,1,1.2974748472107769,0,1,0,1,0,0,1,0,0,0,0
0,0,0,-0.9924020376385532,0,0,0,0,0,1,-0.6518130339840859,1,0,0,1,0,0,0,0,0,1,1
0,0,0,-0.8295205827584317,0,0,1,0,1,0,-1.0223937650211312,1,0,0,1,0,0,0,0,0,1,0
0,0,0,-1.2367242199587352,0,0,0,0,0,1,0.1973652331008032,0,1,0,1,0,0,0,0,1,0,1
1,0,0,-0.748079855318371,1,0,1,0,0,1,0.4715617381282135,0,1,0,1,0,0,0,0,1,0,1
1,1,0,0.7954378254383697,1,0,1,0,0,1,1.2227695066197959,0,1,0,1,0,0,0,0,1,0,1
0,0,0,0.2292088739623573,0,1,1,0,1,0,0.1940416391004707,1,0,0,0,1,0,0,0,0,1,0
0,0,0,1.3286586944031769,1,0,1,1,1,1,0.3136910231124318,1,0,0,0,0,1,0,1,0,0,0
0,0,0,-0.7073594915983407,1,0,0,0,0,1,0.9501592741760568,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-1.2774445836787656,0,0,0,0,0,1,-1.4727407520661506,0,0,1,1,0,0,0,0,0,1,0
0,0,0,-0.2594354906780068,0,0,0,0,0,0,-0.641842251983089,1,0,0,1,0,0,0,0,1,0,0
0,0,0,-0.9924020376385532,0,0,1,0,1,1,0.0228765480833603,1,0,0,1,0,0,0,0,1,0,0
