SeniorCitizen,Partner,Dependents,tenure,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,PaperlessBilling,MonthlyCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,0,0,0.3920903288424788,1,0,0,1,0,0,0.50313588113137,0,1,0,1,0,0,0,0,1,0,0
0,0,0,0.1477681465222966,0,1,0,0,0,0,-1.1204397880309327,1,0,0,0,0,1,1,0,0,0,0
0,1,0,1.4915401492832985,0,1,1,1,1,1,0.6626683931473177,1,0,0,0,0,1,0,0,0,1,0
0,0,0,-1.2774445836787656,0,0,0,1,1,0,0.3103674291120993,1,0,0,0,1,0,0,1,0,0,0
1,1,1,0.9214550572028734,1,1,0,1,1,0,0.3818247001192428,1,0,0,0,1,0,0,0,1,0,0
0,0,0,-0.4122938823562038,1,0,1,0,0,1,1.1749109101509652,0,1,0,1,0,0,0,0,1,0,1
0,1,1,1.6137012404433893,1,0,1,1,0,1,1.3190782082129364,0,1,0,0,1,0,0,1,0,0,0
0,0,0,-1.0331224013585834,1,0,0,0,0,1,0.966777244177718,0,1,0,1,0,0,0,0,1,0,1
0,1,1,1.4217629070328033,1,1,0,1,1,1,1.5038795650229662,0,1,0,0,0,1,0,1,0,0,1
1,0,0,-1.1712671778355426,1,0,1,0,0,0,0.8236392975851385,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.9924020376385532,0,0,0,0,0,0,-0.7049905379894018,1,0,0,1,0,0,0,0,0,1,0
1,1,0,1.5322605130033284,1,1,1,1,1,1,1.624848856243503,0,1,0,0,0,1,0,0,1,0,0
1,0,0,1.4100994218432374,1,0,1,0,0,0,-0.3277626189516918,1,0,0,1,0,0,0,0,1,0,0
1,1,0,1.4100994218432374,0,1,1,0,1,1,-0.1266851819315907,1,0,0,0,1,0,1,0,0,0,0
0,0,0,-0.1372743995179157,0,0,0,0,0,1,-1.326502616051532,1,0,0,0,1,0,0,0,0,1,0
0,1,1,-0.9109613101984924,0,0,0,1,1,0,-0.3177918369506949,1,0,0,1,0,0,0,1,0,0,1
0,0,1,-1.2774445836787656,0,1,0,0,0,1,0.2937494591104381,0,1,0,1,0,0,0,0,0,1,1
0,1,0,-0.4630373092781585,1,1,0,1,0,1,1.300798441211109,0,1,0,1,0,0,0,0,1,0,1
0,1,0,1.0843365120829946,1,0,1,0,0,0,1.2077378092018058,0,1,0,1,0,0,0,0,1,0,1
0,1,0,-1.1619437878540881,0,0,0,0,0,0,0.592075534932663,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-1.0331224013585834,0,0,0,1,1,0,-0.0651986929254444,1,0,0,1,0,0,1,0,0,0,0
0,0,1,-1.2774445836787656,0,0,0,0,0,0,-0.6238127164485169,1,0,0,1,0,0,0,0,0,1,1
1,0,0,0.5549717837226001,0,1,0,0,0,0,0.6726391751483144,0,1,0,1,0,0,0,0,1,0,1
0,1,0,0.0663274190822359,1,1,1,0,1,0,-0.0701840839259427,1,0,0,1,0,0,0,0,1,0,1
0,0,0,0.7992939660427822,0,0,0,1,0,1,-0.1765390919365744,1,0,0,1,0,0,0,0,1,0,0
0,1,1,1.5322605130033284,1,0,1,1,1,1,0.642726829145324,1,0,0,0,0,1,0,0,1,0,0
0,1,1,-1.2367242199587352,0,0,0,0,0,0,-1.477726143066649,0,0,1,0,1,0,0,0,0,1,0
0,0,0,-1.0331224013585834,1,0,0,1,0,1,1.1063681921916724,0,1,0,1,0,0,1,0,0,0,1
0,0,0,-0.4223169455581282,1,0,1,0,0,1,0.468238144127881,0,1,0,1,0,0,0,0,0,1,0
1,0,0,-1.2367242199587352,0,0,0,1,0,1,-1.1420431490330922,1,0,0,1,0,0,0,0,1,0,1
0,1,1,0.9214550572028734,1,1,1,0,1,1,0.3402797751150897,1,0,0,0,1,0,0,1,0,0,0
1,1,0,-0.9109613101984924,1,0,0,0,0,1,0.7274784761537967,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.7073594915983407,1,0,0,0,0,1,0.9501592741760568,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.3408762181180675,1,1,0,0,1,1,0.6510358141461546,0,1,0,1,0,0,0,0,1,0,0
1,0,0,-1.2571478084429306,0,0,0,1,0,1,0.687962926379747,0,1,0,1,0,0,0,0,1,0,1
0,1,1,-1.16637084427489,0,0,0,0,1,0,-0.14686847460730007,1,0,0,1,0,0,0,1,0,0,1
0,0,0,-0.0151133083578247,1,0,1,0,0,1,0.5180920541328647,0,1,0,1,0,0,1,0,0,0,1
1,0,0,-0.3815965818380978,0,0,1,0,0,1,0.9966895901807084,0,1,0,1,0,0,0,0,1,0,1
1,1,1,-0.0151133083578247,0,0,1,0,0,1,0.9701008381780504,0,1,0,1,0,0,0,0,0,1,0
0,0,0,0.1477681465222966,1,0,0,1,0,0,-0.2978502729487016,1,0,0,0,1,0,0,0,1,0,0
0,1,0,1.5729808767233588,1,0,1,1,1,1,1.4570073592267243,0,1,0,0,0,1,0,1,0,0,1
0,0,0,-1.1696768801851352,1,0,1,0,0,1,0.7977967240128001,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.1779947632379461,0,1,1,0,0,0,-0.289541287947871,1,0,0,1,0,0,0,0,1,0,0
0,1,1,0.0256070553622056,0,0,0,1,0,1,0.965115447177552,0,1,0,0,1,0,0,0,1,0,1
1,0,0,-1.1021320670558867,0,0,0,1,0,1,0.4224807673332064,0,1,0,1,0,0,0,1,0,0,1
1,0,0,0.9621754209229036,1,0,1,1,0,1,1.329048990213933,0,1,0,0,1,0,1,0,0,0,1
0,0,0,-0.7073594915983407,1,0,0,0,0,1,-1.276648706046548,0,0,1,1,0,0,0,0,1,0,0
0,0,0,-1.2774445836787656,0,0,1,0,1,1,-0.6684310039857471,1,0,0,1,0,0,0,0,0,1,1
